11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_FloorPanelSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_OrdersPanelSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_FloorArrowUpSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_Button1Skin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_TickButton1Skin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_SpeedPanelSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_TimeMoneyPanelSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_OrdersTextboxSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_SpeedTextboxSkin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
11:32:34  |  Core  |  Warning  |  duplicate resource name 'Kenshi_SquadTabButton1Skin'  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
